Key,Value,Type
_newaddress,3,Extra gas consumption
_nextReferrer,4,Extra gas consumption
_nextReferrer != 0,2,Extra gas consumption
_nextReferrer = user[referrer].referrer,2,Extra gas consumption
_now,16,Extra gas consumption
_number,9,Extra gas consumption
_oem,3,Extra gas consumption
_operationId,3,Extra gas consumption
_owner,77,Extra gas consumption
_owners,6,Extra gas consumption
_owners.values(),4,Extra gas consumption
_params,9,Extra gas consumption
_pause,2,Extra gas consumption
_per,6,Extra gas consumption
_price,16,Extra gas consumption
_ps,34,Extra gas consumption
"_r = sha3()(msg.data,block.number)",1,Extra gas consumption
_rank,14,Extra gas consumption
_receivers,3,Extra gas consumption
_recipient,2,Extra gas consumption
_recipients,24,Extra gas consumption
_reduction,15,Extra gas consumption
_requestMsgHash,4,Extra gas consumption
_restricted,2,Extra gas consumption
_safeAddress,3,Extra gas consumption
_sender,19,Extra gas consumption
_size,6,Extra gas consumption
_smallNum,10,Extra gas consumption
_smartContract,8,Extra gas consumption
_spender,148,Extra gas consumption
_state,6,Extra gas consumption
_step,3,Extra gas consumption
_success,4,Extra gas consumption
_symbol,2,Extra gas consumption
_target,19,Extra gas consumption
_temp,33,Extra gas consumption
_time,6,Extra gas consumption
_tmpRateAll,14,Extra gas consumption
_tmpRateAll = lposition1[_address].releaseRate1,6,Extra gas consumption
_to,564,Extra gas consumption
_token,52,Extra gas consumption
"_token.transferFrom(msg.sender,_recipients[i],_values[i])",3,Extra gas consumption
_tokenAddr,7,Extra gas consumption
_tokenAddress,57,Extra gas consumption
_tokenAddressSell,1,Extra gas consumption
_tokenAmount,6,Extra gas consumption
_tokenContract,2,Extra gas consumption
_tokenId,99,Extra gas consumption
_tokens,135,Extra gas consumption
"_tokens = safeDiv(lock.totalAmount,lock.withdrawSteps)",2,Extra gas consumption
"_tokens = safeSub(lock.totalAmount,lock.amountWithDrawn)",2,Extra gas consumption
_tos,27,Extra gas consumption
_totalNames,4,Extra gas consumption
"_transfer(_from,_to,_value)",1,Extra gas consumption
"_transfer(from,to,value)",2,Extra gas consumption
"_transfer(msg.sender,_to,_value)",5,Extra gas consumption
"_transfer(msg.sender,to,value)",2,Extra gas consumption
"_transferFrom(_from,_to,_value)",2,Extra gas consumption
_types,12,Extra gas consumption
_unfreezeBeginTime,8,Extra gas consumption
_unrestricted,2,Extra gas consumption
_user,41,Extra gas consumption
_userlist,4,Extra gas consumption
_userlist[i] != address(0),2,Extra gas consumption
_value,680,Extra gas consumption
_value = v * 10 ** _decimals,1,Extra gas consumption
_value0,1,Extra gas consumption
_value1,1,Extra gas consumption
_value2,1,Extra gas consumption
_values,29,Extra gas consumption
_when,14,Extra gas consumption
acc,72,Extra gas consumption
accessTime,24,Extra gas consumption
account,18,Extra gas consumption
accountLevelsAddr,2,Extra gas consumption
active,1,Extra gas consumption
addr,76,Extra gas consumption
addrPerStep,28,Extra gas consumption
address(owners[i]).transfer(balanceOf[owners[i]] / _value),1,Extra gas consumption
addresses,54,Extra gas consumption
addrs,2,Extra gas consumption
addrs[i].transfer(val * shares[i] / denom),1,Extra gas consumption
adminAddressesByGameId,6,Extra gas consumption
admins,4,Extra gas consumption
airdrop,26,Extra gas consumption
airdrops,7,Extra gas consumption
"allRewards[ShareID][ReplyID].push(oneReward(msg.sender,msg.value))",1,Extra gas consumption
allStakes,5,Extra gas consumption
allowance,5,Extra gas consumption
"allowance = proxyToken.allowance(msg.sender,address(this))",1,Extra gas consumption
allowance[_from][msg.sender],1,Extra gas consumption
allowed,3,Extra gas consumption
allowed[_owner][_spender],4,Extra gas consumption
amount,222,Extra gas consumption
amount = 1000 * (10 ** 18),2,Extra gas consumption
amount = msg.value,1,Extra gas consumption
amount = msg.value / recipients.length,2,Extra gas consumption
amount = playerVault[msg.sender],2,Extra gas consumption
amountList,7,Extra gas consumption
amounts,42,Extra gas consumption
amt,1,Extra gas consumption
appc,7,Extra gas consumption
"appc.transferFrom(msg.sender,address(this),_amount)",1,Extra gas consumption
approvedInvestorListWithDate[newInvestorList[i]] = releaseTime,1,Extra gas consumption
approvedInvestorListWithDate[newInvestor] = releaseTime,1,Extra gas consumption
area,32,Extra gas consumption
areaId,8,Extra gas consumption
assert(bool)(_to.length <= 150),2,Extra gas consumption
assert(bool)(_to.length == _value.length),2,Extra gas consumption
assertion,2,Extra gas consumption
auction,13,Extra gas consumption
auctionIndex,5,Extra gas consumption
auctioneer = _auctioneer,3,Extra gas consumption
auctions,11,Extra gas consumption
auth(),22,Extra gas consumption
autoBirthFee,24,Extra gas consumption
average,6,Extra gas consumption
balance,30,Extra gas consumption
balance <= 0,2,Extra gas consumption
balance = eplay.balanceOf(reciever),2,Extra gas consumption
balance = msg.sender.balance,1,Extra gas consumption
balance = token.balanceOf(this),2,Extra gas consumption
balanceLock,20,Extra gas consumption
balanceOf,143,Extra gas consumption
balanceOf[addr],6,Extra gas consumption
balanceOf[addr].sub(frozenBalances[addr]),8,Extra gas consumption
balanceOf[addr].sub(lockedBalances[addr]).sub(frozenBalances[addr]),6,Extra gas consumption
balances,163,Extra gas consumption
balances[_address] = balances[_address] + _amount,1,Extra gas consumption
balances[_to] = balances[_to].add(_value),1,Extra gas consumption
balances[from] = balances[from].sub(value),3,Extra gas consumption
balances[msg.sender] = balances[msg.sender].sub(_value),1,Extra gas consumption
balances[msg.sender] = balances[msg.sender].sub(value),3,Extra gas consumption
balances[to] = balances[to].add(amount),2,Extra gas consumption
balances[to] = balances[to].add(value),5,Extra gas consumption
base,10,Extra gas consumption
base = 1000000000000000000,1,Extra gas consumption
base = divs.div(100),1,Extra gas consumption
baseR,66,Extra gas consumption
begun = true,1,Extra gas consumption
betAmount,16,Extra gas consumption
betAmount = getBetAmount(),4,Extra gas consumption
betNumber,143,Extra gas consumption
bettorsBlue,6,Extra gas consumption
bettorsRed,6,Extra gas consumption
blacklist[investor] = true,1,Extra gas consumption
block.difficulty,1,Extra gas consumption
block.gaslimit,1,Extra gas consumption
block.number,3,Extra gas consumption
block.timestamp,55,Extra gas consumption
block.timestamp > recoveryAddressChangeLogs[ein].timestamp + recoveryTimeout,1,Extra gas consumption
block.timestamp > recoveryLogs[ein].timestamp + recoveryTimeout,1,Extra gas consumption
block_number,3,Extra gas consumption
bonus = 0,11,Extra gas consumption
bonusAmount,10,Extra gas consumption
bonusCond2,63,Extra gas consumption
bonusCond3,84,Extra gas consumption
bonusPha2,3,Extra gas consumption
bonusPha3,4,Extra gas consumption
bought_tokens,6,Extra gas consumption
buy_gem,14,Extra gas consumption
buyerAddress,14,Extra gas consumption
caddress,6,Extra gas consumption
callbackAddress,4,Extra gas consumption
callbackSelector,3,Extra gas consumption
canMint,2,Extra gas consumption
cap,6,Extra gas consumption
ceoAddress = _newCEO,2,Extra gas consumption
ceoAddress = newCEO,1,Extra gas consumption
chains,36,Extra gas consumption
chairperson,3,Extra gas consumption
change,3,Extra gas consumption
children,2,Extra gas consumption
chosenEscrow,2,Extra gas consumption
chunks,3,Extra gas consumption
claimdivs(),1,Extra gas consumption
class,12,Extra gas consumption
colorIndex,14,Extra gas consumption
coloredTokens,8,Extra gas consumption
comission,4,Extra gas consumption
commissionPCT,2,Extra gas consumption
commissionType,2,Extra gas consumption
commissionWEI,3,Extra gas consumption
company,2,Extra gas consumption
compound,10,Extra gas consumption
confirmAndCheck(_operation),2,Extra gas consumption
contractAddress,5,Extra gas consumption
controlWallet = newControlWallet,18,Extra gas consumption
controlWalletInput,2,Extra gas consumption
controller = _newController,4,Extra gas consumption
coreContract,7,Extra gas consumption
count,24,Extra gas consumption
count ++,6,Extra gas consumption
count = 0,5,Extra gas consumption
"countReferralsByLevel(_nextReferrer,level)",2,Extra gas consumption
counter,3,Extra gas consumption
creator,6,Extra gas consumption
crowdsaleAddress,2,Extra gas consumption
crowdsaleBalance,2,Extra gas consumption
ctry_,14,Extra gas consumption
curRandom,4,Extra gas consumption
curToken,4,Extra gas consumption
currUnlockSeq,5,Extra gas consumption
current,23,Extra gas consumption
currentAddress,7,Extra gas consumption
currentBatch,42,Extra gas consumption
currentInterest,3,Extra gas consumption
currentKey,28,Extra gas consumption
currentOwner,4,Extra gas consumption
customer,18,Extra gas consumption
cycles,10,Extra gas consumption
"d = get(ds,lastIdx - count)",2,Extra gas consumption
d.answer.length == d.aCount,1,Extra gas consumption
d.ownerIds.contains(msg.sender),1,Extra gas consumption
dai,13,Extra gas consumption
daiAddress,3,Extra gas consumption
dailyLimit,3,Extra gas consumption
dailyLimits[token].spentToday += amount,1,Extra gas consumption
data,31,Extra gas consumption
data = msg.data,2,Extra gas consumption
datasource,420,Extra gas consumption
dayNo,422,Extra gas consumption
deadline,72,Extra gas consumption
decimals,6,Extra gas consumption
denom,1,Extra gas consumption
dep,11,Extra gas consumption
depositors,5,Extra gas consumption
dest,6,Extra gas consumption
destAmt,6,Extra gas consumption
dests,18,Extra gas consumption
developerReservedUnlockTimes,28,Extra gas consumption
developmentTiming,10,Extra gas consumption
dice_result,3,Extra gas consumption
diff,24,Extra gas consumption
distr,1,Extra gas consumption
distr = msg.value / myAddresses.length,1,Extra gas consumption
"distr(addresses[i],value)",1,Extra gas consumption
"distr(investor,toGive)",1,Extra gas consumption
dividends,4,Extra gas consumption
divs,3,Extra gas consumption
divs = harvestabledivs(),1,Extra gas consumption
dorpnum,6,Extra gas consumption
dorptime,9,Extra gas consumption
dpm,8,Extra gas consumption
ds.buyer[ansHash].contains(msg.sender),1,Extra gas consumption
dynargs,240,Extra gas consumption
dynargs[0] = args[0],240,Extra gas consumption
dynargs[1] = args[1],192,Extra gas consumption
egt,6,Extra gas consumption
encodedPtr,2,Extra gas consumption
end,5,Extra gas consumption
endIndex,14,Extra gas consumption
endIndex = (currentBatch + 1) * addrPerStep,14,Extra gas consumption
endTime,16,Extra gas consumption
"ercContract.transfer(target,amount)",1,Extra gas consumption
"ercContract.transferFrom(msg.sender,target,amount)",1,Extra gas consumption
errors,3,Extra gas consumption
escrow,2,Extra gas consumption
eth,26,Extra gas consumption
ethQty,6,Extra gas consumption
etherContributed,4,Extra gas consumption
expItemClass = _expItemClass,1,Extra gas consumption
externalContract,12,Extra gas consumption
externalContract = ERC721(externalNft.nftContractAddress),24,Extra gas consumption
externalNft,72,Extra gas consumption
externalNft = uidToExternalNft[_tokenId],24,Extra gas consumption
externalNft.nftContractAddress != 0,24,Extra gas consumption
factor = FACTOR * 100 / max,1,Extra gas consumption
false,75,Extra gas consumption
fee,25,Extra gas consumption
feeAddr,1,Extra gas consumption
feeCollector,10,Extra gas consumption
feeRebate,2,Extra gas consumption
feeTake,2,Extra gas consumption
feeTakeValue,5,Extra gas consumption
feeTakeXfer,3,Extra gas consumption
feecounter,1,Extra gas consumption
feecounter = 0,1,Extra gas consumption
feecounter = msg.value / 5,1,Extra gas consumption
flattenedPtr,2,Extra gas consumption
flowerId,20,Extra gas consumption
foo,4,Extra gas consumption
foundersAddresses,3,Extra gas consumption
freeday,11,Extra gas consumption
freezeBalance,2,Extra gas consumption
freezedTokens,14,Extra gas consumption
from,31,Extra gas consumption
froms,4,Extra gas consumption
frozenAccount,31,Extra gas consumption
frozenBalances,26,Extra gas consumption
fundWallet = newFundWallet,18,Extra gas consumption
g_BagList,174,Extra gas consumption
g_Bonus,570,Extra gas consumption
"gambleTokenLock.amountWithDrawn = safeAdd(gambleTokenLock.amountWithDrawn,_tokens)",2,Extra gas consumption
game,33,Extra gas consumption
gameIdsByAdminAddress,6,Extra gas consumption
gameIndex,37,Extra gas consumption
gameMaxBetAmount,14,Extra gas consumption
games,22,Extra gas consumption
gamesByAdmin,24,Extra gas consumption
games_,4,Extra gas consumption
gaslimit,258,Extra gas consumption
getTime() >= getLockFundsReleaseTime(msg.sender),1,Extra gas consumption
god = _newGod,58,Extra gas consumption
godOwner = newGodOwner,2,Extra gas consumption
groupLockDate,16,Extra gas consumption
hardCapReached,1,Extra gas consumption
head,36,Extra gas consumption
headKey,36,Extra gas consumption
higher_god_listed,3,Extra gas consumption
holders[i].transfer(_value * token.balanceOf(holders[i]) / token.totalSupply()),1,Extra gas consumption
holders[i].transfer(msg.value * token.balanceOf(holders[i]) / token.totalSupply()),1,Extra gas consumption
i ++,51,Extra gas consumption
i += 1,6,Extra gas consumption
i --,8,Extra gas consumption
i < 1000,1,Extra gas consumption
i < _addresses.length,4,Extra gas consumption
i < _addrs.length,8,Extra gas consumption
i < _dests.length,4,Extra gas consumption
i < _from.length,1,Extra gas consumption
i < _owners.length,2,Extra gas consumption
i < _receivers.length,1,Extra gas consumption
i < _recipients.length,3,Extra gas consumption
i < _to.length,11,Extra gas consumption
i < _tos.length,9,Extra gas consumption
i < _userlist.length,2,Extra gas consumption
i < addrs.length,1,Extra gas consumption
i < dests.length,9,Extra gas consumption
i < entries_count,1,Extra gas consumption
i < groupLockDate[key].lockTime.length,8,Extra gas consumption
i < length,1,Extra gas consumption
i < myAddresses.length,1,Extra gas consumption
i < newInvestorList.length,1,Extra gas consumption
i < owners.length,2,Extra gas consumption
i < phases.length,1,Extra gas consumption
i < receivers.length,2,Extra gas consumption
i < recipents.length,4,Extra gas consumption
i < recipient.length,2,Extra gas consumption
i < recipients.length,8,Extra gas consumption
i < self.length,2,Extra gas consumption
i < to.length,1,Extra gas consumption
i < toAddressList.length,3,Extra gas consumption
i < toMapOption[_to].length,2,Extra gas consumption
i < tokens.length,2,Extra gas consumption
i < tos.length,6,Extra gas consumption
i < total,6,Extra gas consumption
i < users.length,1,Extra gas consumption
i = 0,102,Extra gas consumption
i = startIndex,14,Extra gas consumption
i == 0,1,Extra gas consumption
i == 1,1,Extra gas consumption
i == 2,1,Extra gas consumption
i == 3,1,Extra gas consumption
i == 4,1,Extra gas consumption
iPart,398,Extra gas consumption
i_scope_0,5,Extra gas consumption
"id = bytes4(keccak256()(transferFrom(address,address,uint256)))",9,Extra gas consumption
identity,6,Extra gas consumption
idx,3,Extra gas consumption
idx < _tradingOpenTime.length,1,Extra gas consumption
index,27,Extra gas consumption
info,91,Extra gas consumption
infoUrl,2,Extra gas consumption
iniOwner,14,Extra gas consumption
initTypes,10,Extra gas consumption
investment,11,Extra gas consumption
investor,212,Extra gas consumption
investor = msg.sender,32,Extra gas consumption
investorVault,12,Extra gas consumption
investorVaults,23,Extra gas consumption
investors,8,Extra gas consumption
isAdmin(),6,Extra gas consumption
"isContract(to) && ! contractFallback(from,to,value,new bytes(0))",1,Extra gas consumption
"isContract(to) && ! contractFallback(msg.sender,to,value,new bytes(0))",1,Extra gas consumption
isOwner(),3,Extra gas consumption
isOwner(msg.sender),2,Extra gas consumption
is_contract,4,Extra gas consumption
isfind = false,1,Extra gas consumption
item.record = _record,1,Extra gas consumption
j ++,5,Extra gas consumption
j < _recipients.length,5,Extra gas consumption
j = 0,5,Extra gas consumption
jackpot,1,Extra gas consumption
jackpotBankWEI,4,Extra gas consumption
key,32,Extra gas consumption
key = uint256(lockUser[_owner].lockType[_index]),8,Extra gas consumption
kyberFunctions = Kyber(getAddress(kyber)),4,Extra gas consumption
kycVerified(msg.sender),1,Extra gas consumption
lastCycle,7,Extra gas consumption
lastIdx,3,Extra gas consumption
lastPetId,4,Extra gas consumption
lastPrice = uint2str(oraclizePrice),1,Extra gas consumption
lastTime,9,Extra gas consumption
len,7,Extra gas consumption
lenLen,5,Extra gas consumption
length,3,Extra gas consumption
length = data.length,1,Extra gas consumption
lessThan,1,Extra gas consumption
level,8,Extra gas consumption
level ++,2,Extra gas consumption
level > 5,2,Extra gas consumption
levelItemClass = _levelItemClass,1,Extra gas consumption
list,12,Extra gas consumption
lock,6,Extra gas consumption
lock.id == 1 && lock.amountWithDrawn < lock.totalAmount,2,Extra gas consumption
lock.withdrawSteps > 1,2,Extra gas consumption
lockId,3,Extra gas consumption
lockNum,7,Extra gas consumption
lockQuantity,6,Extra gas consumption
lockReleaseTime,2,Extra gas consumption
lockReleaseTime < now && lock.amountWithDrawn < lock.totalAmount,2,Extra gas consumption
lockReleaseTime = lock.start + lock.duration,2,Extra gas consumption
lockTotalQuantity,4,Extra gas consumption
locked,5,Extra gas consumption
lockedBalances,12,Extra gas consumption
lockedOwner,6,Extra gas consumption
lockedance,8,Extra gas consumption
locknum,17,Extra gas consumption
locknum += 0,4,Extra gas consumption
lockupInfo,36,Extra gas consumption
lockupInfo[_holder].releaseTime <= now,18,Extra gas consumption
loser,2,Extra gas consumption
loser = uint8(getRandom() % players.length + 1),1,Extra gas consumption
loser == i + 1,1,Extra gas consumption
lposition,14,Extra gas consumption
lposition1,23,Extra gas consumption
luckyNumber,2,Extra gas consumption
lucky_number,1,Extra gas consumption
"lucky_number = uint256(keccak256()(abi.encodePacked(abi.encodePacked(i + random_seed + uint256(entries_addresses[i]),blockhash(uint256)(block.number)),entries_blockhash[i])))",1,Extra gas consumption
mConfig,6,Extra gas consumption
mWinner,5,Extra gas consumption
m_txs,7,Extra gas consumption
mainToken,2,Extra gas consumption
manager = newManager,2,Extra gas consumption
masternode,16,Extra gas consumption
matron,20,Extra gas consumption
max,8,Extra gas consumption
maxTokens,6,Extra gas consumption
maxTokensPerAccount,6,Extra gas consumption
members,9,Extra gas consumption
"memcpy(encodedPtr,selfPtr,len)",2,Extra gas consumption
methodId,1,Extra gas consumption
"methodId = bytes4(keccak256()(transferFrom(address,address,uint256)))",1,Extra gas consumption
minAmount,1,Extra gas consumption
"mint(msg.sender,msg.value)",1,Extra gas consumption
minter = _new_mint_address,3,Extra gas consumption
monsterId,10,Extra gas consumption
move,8,Extra gas consumption
msg.data,2,Extra gas consumption
msg.sender,481,Extra gas consumption
msg.sender != chairperson || voters[toVoter].voted,1,Extra gas consumption
msg.sender != owner,1,Extra gas consumption
msg.sender == controlWallet,18,Extra gas consumption
msg.sender == from,1,Extra gas consumption
msg.sender.transfer(address(this).balance),4,Extra gas consumption
msg.sender.transfer(amount),2,Extra gas consumption
msg.value,557,Extra gas consumption
msg.value < oraclizePrice,1,Extra gas consumption
msg.value > 0,1,Extra gas consumption
msg.value >= minimum_wei && block.timestamp > launch_date,1,Extra gas consumption
myAddresses,4,Extra gas consumption
myAddresses[i].transfer(distr),1,Extra gas consumption
mynumber,5,Extra gas consumption
newAssociatedAddress,4,Extra gas consumption
newCEO,1,Extra gas consumption
newControlWallet,36,Extra gas consumption
"newEscrow = Escrow({creator:msg.sender,amountTokenSell:_amountTokenSell,tokenAddressSell:_tokenAddressSell,amountTokenBuy:_amountTokenBuy,tokenAddressBuy:_tokenAddressBuy})",1,Extra gas consumption
newFundWallet,36,Extra gas consumption
newGodOwner,4,Extra gas consumption
newInvestor,1,Extra gas consumption
newInvestorList,2,Extra gas consumption
newLength,12,Extra gas consumption
newManager,2,Extra gas consumption
newOwner,309,Extra gas consumption
newOwner != address(0),83,Extra gas consumption
newOwner != address(0) && newOwner != owner,2,Extra gas consumption
newOwner != address(0) && newOwner != owner1 && newOwner != owner2,1,Extra gas consumption
newOwner = _newOwner,39,Extra gas consumption
newPrice,1,Extra gas consumption
newSupply,30,Extra gas consumption
new_owner,20,Extra gas consumption
new_parameter,15,Extra gas consumption
newethFee,10,Extra gas consumption
newfxFee,10,Extra gas consumption
next,120,Extra gas consumption
next == 0,24,Extra gas consumption
nextBetInLine,14,Extra gas consumption
nextMintPossibleDate,3,Extra gas consumption
nextMintPossibleDate = now,1,Extra gas consumption
notPaused(),48,Extra gas consumption
now,382,Extra gas consumption
now > _tradingOpenTime[idx] && now < _tradingOpenTime[idx + 1],1,Extra gas consumption
now >= lposition1[_address].time1,6,Extra gas consumption
nowtime,2,Extra gas consumption
nowtime = now,3,Extra gas consumption
num,6,Extra gas consumption
numberOfFinalizedStages,16,Extra gas consumption
numbersCount,10,Extra gas consumption
numwinners,2,Extra gas consumption
obj = g_BagList[acc],168,Extra gas consumption
objId,44,Extra gas consumption
offer,56,Extra gas consumption
offset,10,Extra gas consumption
oldOwner,5,Extra gas consumption
onlyAuctioneer(),1,Extra gas consumption
onlyAuthorized(),4,Extra gas consumption
onlyFundWallet(),36,Extra gas consumption
onlyGod(),37,Extra gas consumption
onlyOwner(),81,Extra gas consumption
onlyToken(),48,Extra gas consumption
onlyWorking(),110,Extra gas consumption
opsAddresses,24,Extra gas consumption
opsAddresses = adminAddressesByGameId[_game],4,Extra gas consumption
optionId,12,Extra gas consumption
optionValue,7,Extra gas consumption
oraclizeAPI(),300,Extra gas consumption
oraclizePrice,2,Extra gas consumption
oraclizePrice = oraclize_getPrice(WolframAlpha),1,Extra gas consumption
"oraclize_query(WolframAlpha,random number between 1 and 6)",1,Extra gas consumption
orderEth,18,Extra gas consumption
orderTokens,24,Extra gas consumption
owner,4,Extra gas consumption
owner = _newOwner,10,Extra gas consumption
owner = _newaddress,3,Extra gas consumption
owner = _owner,3,Extra gas consumption
owner = msg.sender,9,Extra gas consumption
owner = newOwner,139,Extra gas consumption
owner = new_owner,10,Extra gas consumption
owner.send(feecounter),1,Extra gas consumption
owner1,1,Extra gas consumption
owner2,1,Extra gas consumption
ownerValidator,165,Extra gas consumption
ownerValidator.validate(msg.sender),121,Extra gas consumption
owners[godOwner] = false,2,Extra gas consumption
